Column 1,season,team,team_score_home,assists_home,blocks_home,defensive_rebounds_home,fast_break_points_home,field_goals_made_home,field_goals_attempted_home,flagrant_fouls_home,fouls_home,free_throws_made_home,free_throws_attempted_home,offensive_rebounds_home,points_in_paint_home,steals_home,team_turnovers_home,technical_fouls_home,three_point_field_goals_made_home,three_point_field_goals_attempted_home,total_rebounds_home,total_technical_fouls_home,turnover_points_home,turnovers_home,opponent_team_score_home,opponent_assists_home,opponent_blocks_home,opponent_defensive_rebounds_home,opponent_fast_break_points_home,opponent_field_goals_made_home,opponent_field_goals_attempted_home,opponent_flagrant_fouls_home,opponent_fouls_home,opponent_free_throws_made_home,opponent_free_throws_attempted_home,opponent_offensive_rebounds_home,opponent_points_in_paint_home,opponent_steals_home,opponent_team_turnovers_home,opponent_technical_fouls_home,opponent_three_point_field_goals_made_home,opponent_three_point_field_goals_attempted_home,opponent_total_rebounds_home,opponent_total_technical_fouls_home,opponent_turnover_points_home,opponent_turnovers_home,Games_home,Possessions_home,team_score_away,assists_away,blocks_away,defensive_rebounds_away,fast_break_points_away,field_goals_made_away,field_goals_attempted_away,flagrant_fouls_away,fouls_away,free_throws_made_away,free_throws_attempted_away,offensive_rebounds_away,points_in_paint_away,steals_away,team_turnovers_away,technical_fouls_away,three_point_field_goals_made_away,three_point_field_goals_attempted_away,total_rebounds_away,total_technical_fouls_away,turnover_points_away,turnovers_away,opponent_team_score_away,opponent_assists_away,opponent_blocks_away,opponent_defensive_rebounds_away,opponent_fast_break_points_away,opponent_field_goals_made_away,opponent_field_goals_attempted_away,opponent_flagrant_fouls_away,opponent_fouls_away,opponent_free_throws_made_away,opponent_free_throws_attempted_away,opponent_offensive_rebounds_away,opponent_points_in_paint_away,opponent_steals_away,opponent_team_turnovers_away,opponent_technical_fouls_away,opponent_three_point_field_goals_made_away,opponent_three_point_field_goals_attempted_away,opponent_total_rebounds_away,opponent_total_technical_fouls_away,opponent_turnover_points_away,opponent_turnovers_away,Games_away,Possessions_away,MP,new_LA_RAPM,new_LA_RAPM__Def,new_LA_RAPM__Off,new_RAPM,new_RAPM__Def,new_RAPM__Off,total_wins,lag 1,lag 2,team_change,team_Bucks,team_Bulls,team_Cavaliers,team_Celtics,team_Clippers,team_Grizzlies,team_Hawks,team_Heat,team_Hornets,team_Jazz,team_Kings,team_Knicks,team_Lakers,team_Magic,team_Mavericks,team_Nets,team_Nuggets,team_Pacers,team_Pelicans,team_Pistons,team_Raptors,team_Rockets,team_Spurs,team_Suns,team_Thunder,team_Timberwolves,team_Trail Blazers,team_Warriors,team_Wizards,season_2010,season_2011,season_2012,season_2013,season_2014,season_2015,season_2016,season_2017,season_2018,season_2019,season_2020,season_2021,season_2022
0,2009,76ers,106.68124104,20.923668823,5.5725007876,30.809499547,19.343007542,40.105931149,87.552560452,0.0535817383,22.370375758,21.96851272,29.845028257,13.716925016,30.220100425,9.1088955182,15.994148895,0.7233534676,4.5008660208,14.761768913,54.760536586,0.7233534676,20.012779271,15.994148895,110.96778011,24.727972245,6.1886907786,30.621963463,13.449016324,41.7133833,87.632933059,0.0267908692,23.683128347,19.343007542,24.352900077,12.216636342,28.344739583,8.1712150972,16.79787497,0.5626082526,8.1980059664,22.075676197,51.492050547,0.5626082526,19.07509885,16.79787497,41,3732.6149951,104.55221705,23.857187324,4.6025852257,31.101493063,11.193269395,39.217294231,87.639758913,0,24.565277358,18.519277831,24.047826948,13.045197178,26.635078998,7.3532426682,17.7294851,0.8442611952,7.5983507572,20.997592953,53.324626461,0.8442611952,16.776286976,17.7294851,109.07309958,23.584845003,5.6374860456,32.299799276,19.581412883,40.851348157,88.892533589,0,22.195899165,22.658881111,30.012123779,14.352440319,31.31936692,8.6604858093,15.251169979,0.4629819458,4.7115221541,14.189034926,56.020815439,0.4629819458,20.425674078,15.251169979,41,3671.8494436,18425.796667,-265.44925,-19.28738333,-277.1173167,-7679.800583,-9423.26365,1772.2903167,41,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2010,76ers,106.37975919,21.826870442,6.0076362155,32.556666129,19.203448514,40.610571448,88.592958514,0.0262342193,22.194149512,18.337719278,24.004310643,12.330083062,43.286461815,8.7097608015,15.897936885,0.5509186049,6.8208970132,18.704998348,53.30793358,0.5509186049,16.0553422,15.897936885,109.60656816,23.427157819,5.1156727599,32.451729251,15.373252499,41.345129588,88.802832268,0,20.672564794,18.888637883,25.053679414,12.907235887,47.588873777,8.2375448544,15.635594692,0.5246843856,8.0276711002,21.039843864,53.963789062,0.5246843856,17.786800673,15.635594692,41,3811.8153594,110.99004859,24.489382713,3.6587191185,32.928472066,14.074050916,40.83344184,85.138660946,0,19.922660309,21.311371216,27.453746378,10.575567671,45.50698816,8.1987355428,15.836645527,0.6142375162,8.0117936901,19.762424435,52.049953006,0.6142375162,17.732770034,15.836645527,105.72897073,23.795027259,5.608255583,31.513055181,22.299492437,41.10050163,88.904203981,0.0534119579,22.192668521,17.812887971,23.848439217,12.578516093,46.682051234,8.9465029539,15.649703675,0.8545913269,5.7150794989,17.83959395,52.236894859,0.8545913269,19.308422793,15.649703675,41,3744.4798457,19824.131667,15255.978683,8078.3815833,7174.3598,14392.130567,9452.9693,4921.21735,27,41,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,2011,76ers,104.24571223,23.362720901,4.1979889119,33.792507017,17.104849231,40.441495667,88.809628782,0.0782233959,21.4853594,18.173902308,23.884210207,11.368466867,44.430888856,8.1613076361,14.497402702,0.7561594934,5.1888185929,15.592530244,53.191909194,0.7561594934,16.061870619,14.497402702,106.48811625,23.023752852,5.4234887806,34.366145254,14.758147355,39.685336173,86.697597093,0.0521489306,19.868742552,20.833497768,27.560709813,11.394541332,44.430888856,8.2656054973,14.966743077,0.8865318199,6.2839461352,18.3303491,54.626004785,0.8865318199,16.870179043,14.966743077,41,3835.1697296,103.53424291,23.263445684,4.4462558305,34.140892984,13.947481087,39.010601751,87.681223609,0.052931617,20.696262258,19.505300875,24.613201919,11.750818981,43.880310517,7.0399050649,15.720690258,0.6881110214,6.0077385328,17.785023322,53.328604157,0.6881110214,14.741455343,15.720690258,109.06559689,25.539505217,5.1343668518,33.929166516,21.225578429,41.657182602,89.189774694,0.052931617,20.325740939,19.293574407,24.745530961,10.956844725,45.150669326,8.1514690225,13.418164917,0.5293161703,6.4576572776,17.202775535,53.434467391,0.5293161703,19.372971833,13.418164917,41,3778.4600438,16154.61,12786.817783,12136.1027,668.82421667,18458.223433,14539.9953,3931.32345,41,27,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,2012,76ers,103.4611559,23.249697954,5.8124244885,34.177055992,15.7433669,41.284820795,91.603809939,0.0332138542,20.127595657,15.245159087,20.160809512,11.392351997,45.037986322,9.1670237647,13.119472417,0.6642770844,5.6463552174,15.610511483,53.607160711,0.6642770844,17.968695133,13.119472417,101.9333186,22.485779307,5.8788521969,36.435598079,11.990201373,38.893423292,88.714204621,0,17.47048732,17.802625862,22.950773266,11.591635123,40.919468399,6.5431292813,15.643725338,0.3653523964,6.343846156,18.035122841,56.596407591,0.3653523964,14.281957315,15.643725338,33,3010.7918021,96.433042546,20.982958039,4.7347908562,36.92455603,10.559605507,37.197061978,89.620393832,0.0340632436,18.530404502,16.384420157,22.515804,12.160577954,39.785868489,6.6082692525,15.226269876,0.4087589228,5.6544984326,17.951329361,57.703134607,0.4087589228,11.411186596,15.226269876,104.40384154,25.649622408,5.620435189,37.98051658,18.428214771,41.829663104,93.946425765,0,18.768847207,14.647194735,20.13137695,12.296830929,41.216524719,8.5158108924,11.683692544,0.715328115,6.097320599,16.79317908,58.452525966,0.715328115,18.257898553,11.683692544,33,2935.7157311,20321.261667,-7186.7899,1747.7964833,-8957.215317,-3950.665867,3451.03935,-7368.159767,35,41,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,2013,76ers,117.51328579,26.916450935,5.7209181429,38.952262328,13.598903782,46.580153185,107.19687602,0.0312618478,23.759004309,16.506255625,22.133388225,14.130355194,49.518766876,9.8474820492,0.6877606511,0.6252369555,7.8467237916,22.070864529,62.805052181,0.6252369555,20.413986597,16.318684539,124.51593969,27.948091911,7.096439445,42.422327431,14.067831499,47.518008618,103.00778842,0.0625236956,20.695343227,20.820390618,28.479543323,13.942784108,53.770378174,9.4723398759,0.7190224988,0.3126184778,8.6595318338,24.009099091,66.587735761,0.3126184778,18.819632361,17.256539972,41,3198.7872476,122.37283481,30.38307982,5.2610046,41.932385776,17.806477108,46.601916486,104.22392545,0,20.826106967,20.701586148,26.180502181,14.226503563,49.12346307,8.9343687585,0.6848645041,0.4046926615,8.4674156875,25.090945015,65.217778917,0.4046926615,18.304560383,17.993258336,120.81632457,31.316985962,6.2571711514,38.819365303,19.113945706,48.843291227,107.89728961,0,23.192002527,14.817977453,20.826106967,13.821810902,49.995108802,9.1522801917,0.5914738899,0.6537342994,8.3117646639,22.787309865,62.945273971,0.6537342994,21.293060038,15.7830138,41,3212.3142413,15630.538333,-27812.24323,-13868.01883,-13907.07007,-25483.51543,-11056.60312,-14473.54482,34,35,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
145,2014,76ers,117.26289453,24.282296565,4.8738659773,37.105205863,17.84183081,44.79314922,104.67207408,0.029011107,27.82165162,19.466452802,27.038351731,13.519175866,58.428369514,11.314331733,0.6092332472,0.7542887822,8.2101432832,26.95131841,61.56156907,0.7542887822,22.860752322,19.00227509,130.25987046,28.662973724,8.9354209584,43.400616084,19.901619407,46.82392671,100.37843025,0,24.369329886,26.487140698,35.016406158,14.360497969,53.728570178,10.18289856,0.7252776752,0.6382443542,10.124876346,29.301218078,67.973023719,0.6382443542,22.338552396,19.58249723,41,3446.9556771,132.38341429,33.842376586,7.3188530678,40.253691873,19.84872952,48.889938493,102.90307413,0.0585508245,24.766998782,23.186126519,30.856284534,14.081473302,51.81747972,11.271033724,0.9953640172,0.4391311841,11.417410786,28.924107324,65.781851374,0.4391311841,22.04438544,19.233945862,120.40977067,27.928743307,4.7426167879,37.38470147,23.771634764,45.786744792,103.69351026,0,25.90873986,20.229309879,28.865556499,14.140024127,59.897493507,10.978279602,0.4391311841,1.0246394295,8.6069712078,26.874828465,62.444454375,1.0246394295,22.981198633,20.287860704,41,3415.8357557,17573.451667,-16734.89235,2361.8719167,-19106.08238,-20262.91972,1788.8716833,-22113.0227,19,34,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
174,2015,76ers,111.8411613,22.970950644,7.1342176029,38.100412112,15.836733041,41.206256844,103.72291368,0.0615018759,26.876319763,18.850324959,29.090387295,15.129461468,49.816519468,11.900612984,0.8302753245,0.3690112553,10.578322653,33.088009227,65.007482813,0.3690112553,26.845568825,21.648660312,128.10840747,29.090387295,8.0567457412,45.019373149,18.266057138,47.69470475,104.58393995,0.0307509379,25.492527555,22.694192202,29.920662619,14.791201151,53.322126394,12.331126115,1.107033766,0.3690112553,10.02480577,29.213391046,71.864941974,0.3690112553,20.603128422,19.74210216,41,3251.9333291,124.50554701,30.157471989,5.8134885762,42.056956418,18.25798756,45.236207983,102.46273616,0.090835759,25.070669485,23.980640377,31.792515651,13.897871127,51.04969656,11.445305634,0.9689147627,0.545014554,10.052490663,28.128806705,68.005704907,0.545014554,22.527268233,20.104981326,118.23787964,28.340756809,7.7210395152,39.271326476,21.043617502,43.146985526,103.06830788,0.0605571727,27.371842046,21.406960538,30.490536439,14.715392958,52.260840013,12.171991706,1.2111434534,0.6055717267,10.536948044,32.821987586,66.037596795,0.6055717267,24.646769276,20.64999588,41,3302.6640972,19339.228333,-18836.82903,-4277.4522,-14570.8353,-24978.69863,-8059.392883,-16903.4001,18,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,2016,76ers,115.76669693,24.717517596,7.5582491822,38.316529638,12.198255437,43.04408318,100.41673913,0,26.731105216,18.589207448,26.001544484,10.85586369,51.069251231,9.7761138071,0.846290449,0.4377364391,11.089323124,33.00532751,59.065236852,0.4377364391,23.579402854,18.676754736,128.72369553,27.052111938,7.4123370358,43.394272332,18.851849312,46.604339552,100.53346885,0.0583648585,22.470470542,25.76808505,32.742685646,12.344167583,53.52057529,10.359762393,1.0505674539,0.5836485855,9.7469313778,26.059909342,66.623486034,0.5836485855,20.223423487,17.188450843,41,3426.7195187,128.96836423,28.971154283,6.1914160364,43.807188936,21.14426986,48.363136586,103.96906174,0.0584095852,23.393038892,23.363834099,29.759683684,14.310348386,55.489105986,10.396906174,0.5840958525,0.8177341935,8.8782569578,25.787831887,67.725914096,0.8177341935,19.567211058,17.406056404,117.43247114,26.809999629,6.8923310593,37.732592071,16.967984515,43.661164973,100.63971538,0.0876143779,25.232940827,18.895500828,28.007396127,11.827941013,52.218169212,10.075653455,1.0221677419,0.5256862672,11.214640368,32.82618691,60.366306354,0.5256862672,24.269182671,18.661862487,41,3424.0955341,17852.345,-13062.57935,-1801.267367,-11253.70238,-14579.85745,-847.3810667,-13731.42475,10,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
234,2017,76ers,121.86466424,27.029478122,5.5973060917,38.398099821,14.877813601,45.213472523,102.31759529,0.0580031719,26.333440058,19.721078458,25.782409925,11.977655005,54.696991135,10.730586808,0.8120444071,0.5220285474,11.716640731,34.975912677,60.41030357,0.5220285474,22.447227539,19.19904991,131.17417333,27.406498739,7.105388562,40.77622987,16.03787704,48.519653324,102.86862543,0.0870047579,22.418225953,23.288273532,30.71267954,13.572742233,55.683045058,10.440570948,0.4640253755,0.5800317193,10.846593152,28.885579624,64.528528778,0.5800317193,20.823138725,17.951981714,41,3448.0872912,126.24031806,26.561613883,5.8121693399,40.539881146,20.42977523,45.654590165,101.50953752,0.0290608467,24.323928687,24.614537154,31.269471049,12.14743392,51.670185432,10.025992111,1.0171296345,0.5521560873,10.316600578,30.455767341,62.858611411,0.5521560873,20.400714383,16.622804312,121.99743444,29.554881093,6.5096296607,40.162090139,15.867222298,44.434034603,100.60865127,0.0871825401,25.718849329,20.720383697,26.648796423,11.4499736,50.856481724,9.3575926372,0.8137037076,0.7555820142,12.408981541,35.948267367,61.754299236,0.7555820142,21.592209098,18.860489508,41,3441.055969,21648.406667,12831.84995,7406.3615,5471.72235,19401.48605,13118.43375,6301.7547333,28,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
264,2018,76ers,127.47060736,5.4120312069,26.685919834,41.856879653,14.163400818,46.578013259,99.575616727,9.4710546121,0.0863622001,21.072376827,28.154077236,12.321007216,-1.180283402,19.805731225,0.7196850009,0,13.242204017,35.063053245,64.282264282,0,23.23143183,0.6908976009,126.52062316,6.6498894085,24.411715231,37.769068848,13.645227617,45.368942458,102.25284493,10.421038813,0.0863622001,23.63445543,31.17675424,11.457385215,-1.180283402,15.91943222,0.748472401,0.0863622001,12.148282815,35.034265845,60.223240877,0.0863622001,19.172408424,0.806047201,41,3473.7419799,119.91046012,5.2602230148,23.246792033,37.585141864,10.492165261,43.665507177,102.7440334,9.4740575805,0.0282807689,21.069172828,28.818103506,11.877922937,-1.159511525,16.120038271,0.5938961468,0.0282807689,11.510272941,34.219730365,61.227864662,0.0282807689,20.051065148,0.6221769157,129.41279847,6.5611383841,25.000199705,43.608945639,12.641503697,48.954010961,102.91371802,9.9831114206,0.1131230756,19.032957468,25.169884318,13.150557537,-1.159511525,17.336111334,0.6504576846,0.0282807689,12.471819084,34.700503437,65.696226148,0.0282807689,19.909661303,0.7918615291,41,3535.971754,20912.778333,7211.7585167,-33.32325,7246.2119333,10136.3699,3581.9129167,6554.0066,52,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
294,2019,76ers,126.12336636,29.19192121,5.6518193321,40.989408166,14.513652557,45.873019045,100.14145904,0.1097440647,23.787026024,22.662149361,30.12474576,12.949799635,54.213567962,8.3954209496,0.4938482912,0.466412275,11.715178907,34.78886851,63.898481672,0.466412275,20.247779937,17.010330029,129.11389212,27.079347965,4.6641227498,38.410422645,17.50417832,48.177644404,104.17455342,0.0548720324,24.39061838,21.070860423,27.134219997,11.934667036,59.5361551,9.1361933864,0.4389762588,0.6035923559,11.687742891,34.78886851,59.892823311,0.6035923559,16.35186564,13.964932233,41,3644.8440386,123.88466104,25.500826641,4.5517604543,36.82538729,15.492437691,45.57244503,101.70168388,0.0548404874,25.41856591,21.305529355,28.023489062,10.639054556,55.608254224,8.2534933538,0.6580858488,0.9048680421,11.434241623,32.794611466,57.938974939,0.9048680421,18.124781086,13.600440875,132.93334146,31.34133855,6.1969750763,41.980393105,19.221590834,47.57412282,98.246733178,0.0274202437,24.074973969,25.11694323,31.807482692,11.516502354,56.869585435,8.2260731101,0.5209846303,0.7951870673,12.66815259,33.068813903,62.271373444,0.7951870673,18.563504985,15.519857934,41,3646.9405995,19562.276667,2658.1676167,2397.9553,249.53255,6334.5419333,3953.9592667,2370.4884,51,52,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
324,2020,76ers,125.60886061,28.847821616,5.9041670964,39.677226549,14.500389656,46.499139827,102.75698071,0.0611830787,25.666301523,18.936162864,25.390977668,12.083658047,53.290461564,9.2386448866,0.7036054053,0.8259715627,13.674418094,38.300607278,61.060712562,0.8259715627,19.425627493,15.938192006,129.92226766,27.746526199,5.2617447698,39.921958864,15.356952758,47.29451985,98.657714435,0.1223661574,24.075541476,22.91306298,30.407990123,9.7587010557,56.777897051,7.831434076,0.3976900117,0.6730138659,12.42016498,33.711876374,59.469952515,0.6730138659,18.354923616,15.387544298,38,3268.8776732,121.6215859,25.03485552,4.0507325908,37.220256019,16.601363077,45.122504843,101.26831477,0.0664054523,23.441124665,19.656013883,26.296559114,10.259642382,55.182930868,8.4334924432,0.7304599754,0.4980408923,11.720562332,34.730051557,57.341108068,0.4980408923,18.693134825,15.638484019,132.08044464,31.243765311,6.5077343262,41.70262405,17.032998517,49.140034708,101.53393658,0.1328109046,22.909881046,20.486082037,26.827802733,12.251805951,57.374310794,9.4295742278,0.9628790585,0.6640545231,13.314293188,35.028876093,62.952368788,0.6640545231,18.892351182,15.406064936,35,3011.8008845,18451.46,13077.650233,10088.781033,2979.8713833,15711.6369,10781.606717,4952.9652167,43,51,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
354,2021,76ers,128.94989282,25.079025689,7.1095287389,40.63519637,13.729869721,46.798962112,100.41394031,0.1630625858,23.154887177,23.285337246,30.297028433,11.44699352,53.288853025,10.142492834,0.6196378259,0.9457629974,12.066631346,33.88440532,56.615329774,0.9457629974,19.991473014,15.980133404,126.30827893,27.688027061,5.7071905014,39.558983304,14.153832444,46.407611906,101.06619065,0.0978375515,24.426775346,19.273997636,25.470375895,10.729518143,54.789028814,8.7401545965,0.6848628602,1.0436005488,14.219057478,38.417545204,54.723803779,1.0436005488,19.861022945,17.382471641,36,3066.307318,124.84138761,27.000504871,5.1125216324,37.545080738,19.044143081,45.118003406,100.97230224,0.159766301,24.284477754,21.153058254,27.447850514,11.950519316,52.275533691,8.052221571,0.8307847653,1.1503173673,13.452322545,38.343912243,53.74538366,1.1503173673,22.14360932,17.31866703,135.09838414,29.94020481,7.3172965863,40.740406758,21.472590856,49.399740273,101.54746092,0.0958597806,23.837132111,22.207515841,28.981607004,11.854659535,56.685083599,10.99192151,1.0225043265,0.8946912857,14.091387749,36.107184029,57.995167267,0.8946912857,19.842974586,15.912723581,36,3129.57111,19791.03,8598.3299,46.238483333,8530.6459,13656.874967,3658.8065667,10016.7492,49,43,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
384,2022,76ers,129.41794981,26.965670218,6.0147546164,40.14632866,12.403632726,46.132304546,99.056389424,0.1726723813,23.051762908,23.627337512,29.008960064,10.043776847,50.938352493,8.950185099,0.9496980973,0.7482469858,13.526003204,36.433872461,50.190105507,0.7482469858,18.044263849,13.871347967,126.94297901,27.713917204,5.3240650911,39.916098818,15.310284478,46.420091848,101.35868784,0.0575574604,23.31077148,20.548013378,26.591546725,11.396377168,54.276685198,7.8853720808,0.777025716,1.2374853995,13.554781935,39.081515641,51.312475986,1.2374853995,17.497467975,14.504480032,41,3474.7884715,126.39517533,27.89907173,5.5855726683,40.221881534,20.067753349,47.218243175,102.9300118,0.1727496702,22.572623567,18.7145476,24.444078327,12.725892368,55.913309906,7.7161519335,1.0364980209,0.6622070689,13.244141378,38.408009997,52.947773902,0.6622070689,19.693462397,14.97163808,130.08050162,29.021944586,6.5069042424,39.588466077,16.411218665,46.843952223,100.48272481,0.0863748351,22.716581625,22.572623567,27.265656272,10.105855704,55.049561555,9.2708989649,0.8925399625,0.748581904,13.819973612,38.638342891,49.694321781,0.748581904,17.303758627,13.848765224,41,3473.2338387,21115.826667,6877.4246667,888.82473333,6040.8240667,17485.013133,3678.9797667,13805.8171,51,49,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2009,Bucks,103.20031389,21.270293703,4.0965010095,30.671238328,11.843089457,38.365307531,87.995992839,0.0262596219,26.417179587,20.009831854,25.708169797,12.368281894,19.222043198,7.6678095819,15.860811601,0.6302309245,6.4598669765,18.092879459,51.521378081,0.6302309245,18.644331518,15.860811601,108.66231524,22.950909502,5.8033764301,34.347585387,14.57409013,38.128970935,81.089712291,0.0525192437,23.134726855,25.419313956,33.008344673,10.47758912,21.060216728,8.4293386157,17.331350425,0.9978656305,6.9850594137,18.407994921,54.357417242,0.9978656305,19.117004711,17.331350425,41,3808.1279521,107.14458509,22.407956227,4.0575154383,31.910395608,11.020735481,36.700881577,82.328297119,0.0785325569,25.156595717,25.994276324,32.015105684,11.308688189,25.444548426,7.7223680923,18.06248808,0.7853255687,7.7485456112,20.549352381,52.852410774,0.7853255687,16.622724538,18.06248808,110.25970985,25.968098805,3.9789828814,31.386845229,13.193469554,40.522799345,89.108274529,0.026177519,25.653968578,22.277068632,28.481140625,13.141114516,28.84762589,8.2982735093,14.397635426,0.8900356445,6.9370425236,18.82163613,53.585381305,0.8900356445,21.282322912,14.397635426,41,3820.0717251,18660.405,12167.644633,18238.02685,-6108.12625,16434.852817,18657.55615,-2194.1388,34,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2010,Bucks,101.82923446,22.484144793,4.7882900947,34.298730135,12.022771868,39.139066861,90.431022169,0,23.863380526,15.431826229,20.688536007,11.372188975,37.889947706,7.676878141,14.521010179,0.8327461034,8.1192745084,23.837357211,53.66007704,0.8327461034,17.565738119,14.521010179,101.75116451,20.97479248,5.9072926712,36.562758604,15.613989439,36.901061708,82.702097397,0.0780699472,20.506372797,22.171865004,29.614533303,10.071023188,39.919766333,7.676878141,16.368665596,0.5204663146,5.7771760925,17.07129512,56.132292034,0.5204663146,16.108432438,16.368665596,41,3842.7078636,104.48004996,20.447484525,5.118467094,34.773915618,11.793581397,38.309351652,83.979797734,0.052767702,23.112253476,22.16243484,28.309872123,10.632691953,40.578362838,7.3347105781,16.489906875,1.05535404,5.6989118161,16.35798762,54.034126848,1.05535404,15.8303106,16.489906875,108.0682537,23.112253476,5.303154051,32.768742942,11.054833569,40.789433646,92.950307074,0.052767702,23.903769006,17.703564021,23.21778888,13.930673328,42.003090792,7.5193975351,13.904289477,0.738747828,8.7858223831,23.666314347,55.458854803,0.738747828,17.571644766,13.904289477,41,3790.1972687,19661.576667,2066.8100667,13609.901283,-11525.69167,4370.4597167,18067.949,-13653.95505,46,34,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,2011,Bucks,100.68113038,20.70556189,4.9145497092,32.011711767,11.118161637,37.946769066,89.079570413,0.0805663887,22.93456531,18.315425692,24.438471232,11.440427192,39.477530451,8.6743145141,14.501949962,0.6982420352,6.472166557,18.691402173,52.341297177,0.6982420352,18.85253495,14.501949962,104.7900162,23.015131698,6.3378892425,36.174308516,14.528805425,39.101553971,85.104961905,0.0268554629,22.478022441,21.08153837,27.124017521,11.655270895,43.129873405,6.4184556312,16.972652548,0.751952961,5.5053698929,17.080074399,56.960436794,0.751952961,16.757808845,16.972652548,41,3723.6371759,100.21543058,21.662346518,4.2241575709,34.713910295,12.185069916,37.313391877,85.918281876,0.1353896657,23.205788707,19.306566334,25.344945426,10.885329125,39.912873459,7.2568860834,16.598773019,0.731104195,6.2820804901,18.223449008,54.480801492,0.731104195,16.030136423,16.598773019,102.48997696,20.958320256,5.8488335598,34.876377893,11.10195259,37.936184339,87.380490266,0.0270779331,22.420528646,20.064748462,26.292673086,11.805978852,39.425470662,7.9609123452,15.244876362,0.9477276601,6.5528598216,19.441956,55.834698149,0.9477276601,17.925591743,15.244876362,41,3693.0440539,17345.456667,5775.1490833,-506.9863833,6308.3094333,9068.4143833,-286.7367,9361.5771167,35,46,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
